Date,Ad Breaks (Minutes),Ad Time (Seconds) Per Hour,Average Viewers,Chat Messages,Chatters,Clip Views,Clips Created,Follows,Hosts and Raids Viewers (%),Live Views,Max Viewers,Minutes Watched,Minutes Streamed,Unique Viewers,Sub Revenue,Prime Revenue,Gifted Subs Revenue,Bits Revenue,Ad Revenue,Extensions Revenue,Prime Subs,Total Paid Subs,Tier 1 subs,Tier 2 subs,Tier 3 subs,Total Gifted Subs,Gifted Tier 1 subs
Mon Jun 15 2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 16 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 17 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 18 2020,0,0,2.92,394,10,0,0,0,0.08,51,9,1231,421,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 19 2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 20 2020,0,0,0.43,19,3,0,0,0,0,9,2,75,173,8,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 21 2020,0,0,1.37,51,12,0,0,6,22.38,73,7,420,306,48,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 22 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 23 2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jun 24 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jun 25 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jun 26 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jun 27 2020,0,0,3.21,241,6,0,0,0,0,31,6,1266,392,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jun 28 2020,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jun 29 2020,0,0,2.37,224,7,10,5,2,0,44,5,771,323,17,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jun 30 2020,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 01 2020,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 02 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 03 2020,0,0,2.52,266,4,0,0,2,0,35,5,589,234,21,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 04 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sun Jul 05 2020,0,0,3.91,286,8,0,0,4,0,62,9,1177,301,46,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 06 2020,0,0,4.35,91,5,0,0,0,0.24,55,9,1675,385,30,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 07 2020,0,0,5.19,405,7,0,0,4,0.64,29,9,934,178,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 08 2020,0,0,5.14,263,9,0,0,0,19.29,44,9,1213,237,23,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Jul 09 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 10 2020,0,0,2.25,113,7,0,0,2,0.24,36,6,420,187,20,0,0,0,0,0.0315,0,0,0,0,0,0,0,0
Sat Jul 11 2020,0,0,3,83,9,0,0,3,0,41,7,609,203,27,4.69,2.495,0,0,0.014,0,1,2,2,0,0,0,0
Sun Jul 12 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jul 13 2020,0,0,5.45,306,8,0,0,1,0,48,9,1526,280,23,0,0,0,0,0.014,0,0,0,0,0,0,0,0
Tue Jul 14 2020,0,0,3.02,101,8,0,0,0,11.54,25,10,338,111,14,0,0,0,0,0.014,0,0,0,0,0,0,0,0
Wed Jul 15 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.495,0,1,0,0.08,1,0,0,0,0,0,0
Thu Jul 16 2020,0,0,4.56,118,6,0,0,0,0,16,8,278,61,10,0,0,0,0,0.007,0,0,0,0,0,0,0,0
Fri Jul 17 2020,0,0,4.55,346,10,0,0,0,0.07,37,9,1346,296,19,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Sat Jul 18 2020,0,0,2.49,208,6,0,0,0,0,24,6,588,236,18,0,2.495,0,0.3,0.007,0.96,1,0,0,0,0,0,0
Sun Jul 19 2020,0,0,2.73,116,6,0,0,1,0,34,5,431,157,17,0,0,0,0,0.0035,0,0,0,0,0,0,0,0
Mon Jul 20 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,12.12,0,0,0.16,0,1,1,0,0,5,5
Tue Jul 21 2020,0,0,4.28,65,6,0,0,0,0,22,8,535,125,18,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Jul 22 2020,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0.08,0,0,0,0,0,0,0
Thu Jul 23 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Jul 24 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sat Jul 25 2020,0,0,2.3,100,5,0,0,1,0,14,5,241,105,9,2.145,0,0,0,0.0035,0,0,1,1,0,0,0,0
Sun Jul 26 2020,0,0,3.64,113,6,0,0,1,18.08,35,10,929,255,25,0,0,0,0,0.014,0,0,0,0,0,0,0,0
Mon Jul 27 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Jul 28 2020,0,0,2.25,30,3,0,2,0,0.85,14,5,117,52,11,0,0,0,0,0,0.8,0,0,0,0,0,0,0
Wed Jul 29 2020,0,0,4.54,73,6,0,0,1,0,20,8,454,100,15,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Thu Jul 30 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0
Fri Jul 31 2020,0,0,1.33,311,13,0,0,1,6.04,59,9,480,361,22,0,0,0,0,0.0105,0,0,0,0,0,0,0,0
Sat Aug 01 2020,0,0,3.17,173,7,0,0,1,0,14,5,371,117,11,0,0,0,0,0.007,0,0,0,0,0,0,0,0
Sun Aug 02 2020,0,0,2.9,136,5,0,0,0,0,55,7,988,341,33,0,0,12.12,0,0.0315,0.8,0,0,0,0,0,5,5
Mon Aug 03 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 04 2020,0,0,2.36,363,11,0,0,2,0,42,5,480,203,26,0,0,0,0,0.0035,0,0,0,0,0,0,0,0
Wed Aug 05 2020,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0
Thu Aug 06 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fri Aug 07 2020,0,0,3.27,175,10,0,0,1,0,30,7,461,140,20,0,0,0,0,0.0105,0.8,0,0,0,0,0,0,0
Sat Aug 08 2020,0,0,4.64,707,17,0,0,3,0.57,77,10,1929,416,41,0,0,0,0,0.007,0,0,0,0,0,0,0,0
Sun Aug 09 2020,0,0,6.84,268,8,0,1,1,0,36,9,650,95,12,0,0,4.49,0,0.0035,0.8,0,0,0,0,0,2,2
Mon Aug 10 2020,0,0,5.44,552,15,0,0,3,3.41,65,14,1350,248,35,0,0,0,0,0.014,0.8,0,0,0,0,0,0,0
Tue Aug 11 2020,0,0,5.31,601,10,0,0,1,0,45,9,1424,268,27,7.07,0,0,0,0,0,0,3,3,0,0,0,0
Wed Aug 12 2020,0,0,6.6,96,10,0,0,0,0,8,10,231,35,7,0,0,0,0,0.007,0.8,0,0,0,0,0,0,0
Thu Aug 13 2020,0,0,4.68,626,23,0,3,5,1.23,107,10,2119,453,51,0,0,0,0,0.028,0.8,0,0,0,0,0,0,0
Fri Aug 14 2020,0,0,5.9,162,7,0,0,4,1,10,11,301,51,8,0,0,0,0,0.007,0,0,0,0,0,0,0,0
Sat Aug 15 2020,0,0,3.58,104,8,0,0,3,0,20,7,118,33,15,0,0,0,0,0.007,0,0,0,0,0,0,0,0
Sun Aug 16 2020,0,0,4.48,714,20,0,4,1,0,60,9,1304,291,37,4.59,0,14.35,3,0.021,0,0,2,2,0,0,6,6
Mon Aug 17 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tue Aug 18 2020,0,0,0,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wed Aug 19 2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thu Aug 20 2020,0,0,3.84,204,12,0,0,1,2.41,31,11,706,184,21,2.495,2.495,0,1.16,0.014,0,1,1,1,0,0,0,0
Fri Aug 21 2020,0,0,4.14,263,16,0,0,6,2.28,100,9,1357,328,30,0,0,0,0,0.042,0,0,0,0,0,0,0,0
Sat Aug 22 2020,0,0,5.33,32,7,0,0,0,0,7,7,112,21,3,2.38,0,0,0.04,0.0035,4,0,1,1,0,0,0,0
